data,agegroup,diff_type,mean,q025,q975
Hospitalization,60-69,Realized,70987,65238,76641
Hospitalization,60-69,One month earlier,99425,90605,107850
Hospitalization,60-69,Two months earlier,126102,111585,141016
Hospitalization,70-79,Realized,55957,50158,61945
Hospitalization,70-79,One month earlier,69774,61846,78351
Hospitalization,70-79,Two months earlier,84721,74065,96134
Hospitalization,80+,Realized,39837,34861,44874
Hospitalization,80+,One month earlier,49806,43109,56685
Hospitalization,80+,Two months earlier,57791,49327,66424
Death,60-69,Realized,22518,20370,24564
Death,60-69,One month earlier,31849,28648,34863
Death,60-69,Two months earlier,43158,38122,47858
Death,70-79,Realized,26637,24440,29027
Death,70-79,One month earlier,35518,32511,38783
Death,70-79,Two months earlier,43916,39993,48055
Death,80+,Realized,27348,23830,30440
Death,80+,One month earlier,34049,29765,38110
Death,80+,Two months earlier,37888,32962,42515
